Iteration,FreeHeap
0,335016
1,334744
2,334596
3,334516
4,334096
5,334320
6,334204
7,334028
8,333848
9,333784
10,333492
11,333396
12,333264
13,332880
14,332364
15,332804
16,332416
17,332560
18,332076
19,332268
20,332008
21,332152
22,331828
23,331732
24,331280
25,331456
26,330940
27,331324
28,331240
29,331000
30,330912
31,330796
32,330328
33,330680
34,330372
35,330524
36,330288
37,330168
38,329980
39,330068
40,329728
41,329568
42,329316
43,329404
44,329016
45,328920
46,328692
47,328612
48,328256
49,328096
50,327992
51,327844
52,327328
53,327640
54,327412
55,327140
56,326704
57,326656
58,326172
59,326452
60,326000
61,326200
62,326044
63,326116
64,325968
65,325776
66,325500
67,325688
68,325332
69,325188
70,324704
71,324688
72,324592
73,324364
74,324024
75,324008
76,323636
77,323492
78,323152
79,323288
80,322820
81,323184
82,322996
83,323092
84,322952
85,322888
86,322420
87,322404
88,322096
89,322048
90,321676
91,321828
92,321724
93,321568
94,321132
95,321340
96,321192
97,321136
98,320796
99,320964
100,320656
101,320512
102,320372
103,320172
104,319736
105,319936
106,319516
107,319612
108,319096
109,319208
110,318868
111,319092
112,319020
113,318952
114,318596
115,318820
116,318320
117,318480
118,318028
119,318268
120,317864
121,318180
122,317744
123,317840
124,317660
125,317620
126,317152
127,317296
128,317188
129,317068
130,316872
131,316584
132,316084
133,316276
134,315888
135,315776
136,315420
137,315420
138,314968
139,315000
140,314788
141,314500
142,314312
143,314160
144,313676
145,313852
146,313560
147,313496
148,313396
149,313380
150,313184
151,312960
152,312668
153,312572
154,312216
155,312448
156,312348
157,312284
158,311896
159,311960
160,311852
161,311604
162,311440
163,311088
164,310572
165,310924
166,310568
167,310696
168,310244
169,310372
170,310208
171,309856
172,309468
173,309660
174,309584
175,309336
176,309012
177,309124
178,309008
179,309056
180,308980
181,308796
182,308712
183,308408
184,308276
185,308228
186,307712
187,308000
188,307676
189,307884
190,307528
191,307760
192,307692
193,307564
194,307464
195,307444
196,307280
197,306928
198,306460
199,306676
200,306520
201,306400
202,306244
203,306180
204,306024
205,305664
206,305164
207,305576
208,305204
209,305124
210,304784
211,304816
212,304580
213,304596
214,304336
215,304112
216,303708
217,303756
218,303320
219,303272
220,302884
221,303172
222,302720
223,302896
224,302652
225,302724
226,302576
227,302612
228,302128
229,302484
230,302112
231,302208
232,301868
233,302092
234,302000
235,301624
236,301460
237,301252
238,301008
239,300768
240,300332
241,300316
242,299992
243,299880
244,299476
245,299396
246,299264
247,299168
248,298796
249,298748
250,298440
251,298472
252,298372
253,298268
254,297752
255,297944
256,297700
257,297740
258,297664
259,297448
260,297044
261,297012
262,296640
263,296720
264,296236
265,296252
266,295976
267,296032
268,295756
269,295596
270,295320
271,295096
272,294940
273,294772
274,294352
275,294304
276,293788
277,294124
278,293960
279,293624
280,293404
281,293188
282,292944
283,292968
284,292868
285,292900
286,292528
287,292416
288,291932
289,292196
290,292064
291,291888
292,291500
293,291684
294,291588
295,291168
296,290732
297,290908
298,290584
299,290696
300,290548
301,290404
302,289936
303,289904
304,289772
305,289468
306,289096
307,288984
308,288916
309,288900
310,288760
311,288624
312,288188
313,288536
314,288308
315,288212
316,287696
317,287856
318,287436
319,287580
320,287144
321,287304
322,287028
323,286980
324,286512
325,286816
326,286732
327,286348
328,285928
329,285928
330,285524
331,285428
332,285264
333,285168
334,285004
335,284812
336,284424
337,284672
338,284468
339,284412
340,283912
341,284168
342,283932
343,283860
344,283728
345,283376
346,283004
347,283068
348,282904
349,282808
350,282388
351,282532
352,282128
353,282448
354,281932
355,282188
356,281952
357,282048
358,281660
359,281612
360,281504
361,281384
362,280964
363,281172
364,280720
365,280768
366,280604
367,280444
368,279928
369,280184
370,280056
371,280076
372,279896
373,279872
374,279484
375,279660
376,279240
377,279144
378,278972
379,278708
380,278336
381,278336
382,278148
383,277932
384,277760
385,277784
386,277660
387,277620
388,277328
389,277328
390,276876
391,276812
392,276392
393,276424
394,276180
395,276244
396,276080
397,276064
398,275772
399,275916
400,275640
401,275656
402,275412
403,275268
404,274880
405,275064
406,274960
407,274596
408,274468
409,274500
410,274312
411,274192
412,273964
413,273836
414,273592
415,273680
416,273516
417,273244
418,273080
419,272728
420,272540
421,272540
422,272216
423,272024
424,271796
425,271716
